Field Listing :: Legislative branch :: The World Factbook - Central Intelligence Agency

This entry has three subfields. The description subfield provides the legislative structure (unicameral â€“ single house; bicameral â€“ an upper and a lower house); formal name(s); number of member seats; types of constituencies or voting districts (single seat, multi-seat, nationwide); electoral voting system(s); and member term of office. The elections subfield includes the dates of the last election and next election. The election results subfield lists percent of vote by party/coalition and number of seats by party/coalition in the last election (in bicameral legislatures, upper house results are listed first). In general, parties with less than four seats and less than 4 percent of the vote are aggregated and listed as "other," and non-party-affiliated seats are listed as "independent." Also, the entries for some countries include two sets of percent of vote by party and seats by party; the former reflects results following a formal election announcement, and the latter â€“ following a mid-term or byelection â€“ reflects changes in a legislatureâ€™s political party composition.
Of the approximately 240 countries with legislative bodies, approximately two-thirds are unicameral, and the remainder, bicameral. The selection of legislative members is typically governed by a country's constitution and/or its electoral laws. In general, members are either directly elected by a country's eligible voters using a defined electoral system; indirectly elected or selected by its province, state, or department legislatures; or appointed by the country's executive body. Legislative members in many countries are selected both directly and indirectly, and the electoral laws of some countries reserve seats for women and various ethnic and minority groups.
Worldwide, the two predominant direct voting systems are plurality/majority and proportional representation. The most common of the several plurality/majority systems is simple majority vote, or first-past-the-post, in which the candidate receiving the most votes is elected. Countries' legislatures such as Bangladesh's Parliament, Malaysia's House of Representatives, and the United Kingdom's House of Commons use this system. Another common plurality/majority system â€“ absolute majority or two-round â€“ requires that candidates win at least 50 percent of the votes to be elected. If none of the candidates meets that vote threshold in the initial election, a second poll or"runoff" is held soon after for the two top vote getters, and the candidate receiving a simple vote majority is declared the winner. Examples of the two-round system are Haiti's Chamber of Deputies, Mali's National Assembly, and Uzbekistan's Legislative Chamber. Other plurality/majority voting systems, referred to as preferential voting and generally used in multi-seat constituencies, are block vote and single non-transferable vote, in which voters cast their ballots by ranking their candidate preferences from highest to lowest.
Proportional representation electoral systems â€“ in contrast to plurality/majority systems â€“ generally award legislative seats to political parties in approximate proportion to the number of votes each receives. For example, in a 100-member legislature, if Party A receives 50 percent of the total vote, Party B, 30 percent, and Party C, 20 percent, then Party A would be awarded 50 seats, Party B 30 seats, and Party C 20 seats. There are various forms of proportional representation and the degree of reaching proportionality varies. Some forms of proportional representation are focused solely on achieving the proportional representation of different political parties and voters cast ballots only for political parties, whereas in other forms, voters cast ballots for individual candidates within a political party.
Many countries - both unicameral and bicameral - use a mix of electoral methods, in which a portion of legislative seats are awarded using one system, such as plurality/majority, while the remaining seats are awarded by another system, such as proportional representation. Many countries with bicameral legislatures use different voting systems for the two chambers.

| Country | Legislative branch |
| | *elections:* last held on 9 December 2015 (next to be held in 2020) |
| | *election results:* percent of vote by party - ULP 52.3%, NDP 47.4%, other 0.3%; seats by party - ULP 8, NDP 7 |
| **Samoa** | *description:* unicameral Legislative Assembly or Fono (50 seats for 2016-2021 term); members from 49 single-seat constituencies directly elected by simple majority vote and 1 seat for a woman, added for the 2016 election to meet the mandated 10% representation of women in the Assembly; members serve 5-year terms) |
| | *elections:* election last held on 4 March 2016 (next election to be held no later than March 2021) |
| | *election results:* percent of vote by party - HRPP 89.8%, Tautua Samoa 4.1%, independent 6.1%; seats by party â€“ initial election results - HRPP 44, Tautua Samoa 2, independents 3; post-election party affiliation â€“ HRPP 47, (informal) opposition 3; composition - men 45, women 5, percent of women 10% |
| **San Marino** | *description:* unicameral Grand and General Council or Consiglio Grande e Generale (60 seats; members directly elected in single- and multi-seat constituencies by proportional representation vote in 2 rounds if needed; members serve 5-year terms) |
| | *elections:* last held on 20 November 2016 with a runoff held on 4 December 2016 (next to be held by November 2021) |
| | *election results:* percent of vote by coalition/party in the first roundÂ - San Marino First 41.7% (PDCS 24.5%, PS 7.7%, PSD 7.2%, other 2.3%), Adesso.sm 31.4% (SSD 12.1%, RF 9.6%, Civic 10 9.3%, other 0.4%), Democracy in Action 23.2% (RETE Movement 18.3%, Democratic Movement-San Marino Together 4.5%, other 0.4%), other 3.7%; percent of vote by coalition/party in the second round - Adesso.sm 57.9%, San Marino First 42.1%;Â seats by coalition/party - Adesso.sm 35 (SSD 14, RF 11, Civic 10 10), San Marino FirstÂ 10 (PDCS 10, PS 3, PSD 3), Democracy in ActionÂ 9 (RETE Movement 8, Democratic Movement-San Marino Together 1); composition - men 46, women 14, percent of women 23.3% |
| | note - because no coalition won a majority in the first round, a runoff was held between the two coalitions that had received the greatest percent of the vote, San Marino First and Adesso.sm; Adesso.sm won the runoff, and the seats were reallocated |
| **Sao Tome and Principe** | *description:* unicameral National Assembly or Assembleia Nacional (55 seats; members directly elected in multi-seat constituencies by closed party-list proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 7 October 2018 (next to be held in October 2022) |
| | *election results:* percent of vote by party - ADI 41.8%, MLSTP/PSD 40.3%, PCD-GR 9.5%, MCISTP 2.1%, other 6.3%; seats by party - ADI 25, MLSTP-PSD 23, PCD-MDFM-UDD 5, MCISTP 2 |
| **Saudi Arabia** | *description:* unicameral Consultative Council or Majlis al-Shura (150 seats; members appointed by the monarch to serve 4-year terms); note - in early 2013, the monarch granted women 30 seats on the Council |
| | *note:* composition as of 2013 - men 121, women 30, percent of women 19.9% |
| **Senegal** | *description:* unicameral National Assembly or Assemblee Nationale (165 seats; 105 members including 15 representing Senegalese diaspora directly elected by plurality vote in single- and multi-seat constituencies and 60 members directly elected by proportional representation vote in single- and multi-seat constituencies) |
| | *elections:* National Assembly - last held on 2 July 2017 (next to be held in July 2022) |
| | *election results:* National Assembly results - percent of vote by party/coalition - BBK 49.5%, CGWS 16.7%, MTS 11.7%, PUR 4.7%, CP-Kaddu Askan Wi 2%, other 15.4%; seats by party/coalition - BBY 125, CGWS 19, MTS 7, PUR 3, CP-Kaddu Askan Wi 2, other 9 |
| **Serbia** | *description:* unicameral National Assembly or Narodna Skupstina (250 seats; members directly elected by party list proportional representation vote in a single nationwide constituency to serve 4-year terms) |
| | *elections:* last held on 24 April 2016 (next to be held by April 2020) |
| | *election results:* percent of vote by party/coalition - Serbia is Winning 48.3%, SPS-JS-ZS-KP 11.0%, SRS 8.1%, For a Just Serbia 6.0%, DJB 6.0%, Alliance for a Better Serbia 5.0%, Dveri-DSS 5.0%, SVM 1.5%, other 9.1%; seats by party/coalition Serbia is Winning 131, SPS-JS-ZS-KP 29, SRS 22, For a Just Serbia 16, DJB 16, Alliance for a Better Serbia 13, Dveri-DSS 13, SVM 4, other 6; composition - men 165, women 85, percent of women 34% |
| | *note:* seats by party, as of May 2018 - SNS 89, SRS 22, SPS 20, DS 12, SDPS 10, PUPS 9, Dveri 6, JS 6, LDP 4, SDS 4, SVM 4, other 34, independent 30; composition - men 164, women 86, percent of women 34.4% |
| **Seychelles** | *description:* unicameral National Assembly or Assemblee Nationale (up to 35 seats - the Assembly elected in September 2016 has 33 members; 25 members directly elected in single-seat constituencies by simple majority vote and up to 10 members elected by proportional representation vote; members serve 5-year terms) |
| | *elections:* last held on 8-10 September 2016 (next to be held in 2021); note - the National Assembly was dissolved in July 2011 resulting in early elections |
| | *election results:* percent of vote by party - LDS 49.6%, PL 49.2%, other 1.2%; seats by party - LDS 19, PL 14; composition - men 26, women 7, percent of women 21.2% |
| **Sierra Leone** | *description:* unicameral Parliament (146 seats; 132 members directly elected in single-seat constituencies by simple majority vote and 14 seats filled in separate elections by non-partisan members of Parliament called "paramount chiefs;" members serve 5-year terms) |
| | *elections:* last held on 7 March 2018 (next to be held in March 2023) |
| | *election results:* percent of vote by party - n/a; seats by party - APC 68, SLPP 49, C4C 8, other 7 |
| **Singapore** | *description:* unicameral Parliament (101 seats; 89 members directly elected by popular vote, up to 9 nominated by a parliamentary selection committee and appointed by the president, and up to 9 but currently 3 non-constituency members from opposition parties to ensure political diversity; members serve 5-year terms) |
| | *elections:* last held on 11 September 2015 (next to be held in 2020) |
| | *election results:* percent of vote by party - PAP 69.9%, WP 12.5%, other 17.6%; seats by party - PAP 83, WP 6; composition - men 77, women 24, percent of women 23.8% |
| **Sint Maarten** | *description:* unicameral parliament or Staten (15 seats; members directly elected by proportional representation vote to serve 4-year terms) |
| | *elections:* last held 26 February 2018 (next to be held in 2022) |
| | *election results:* percent of vote by party - UD 42.4%, NA 30.5%, US Party 13.2%, SMCP 8.7%; seats by party - UD 7, NA 5, US Party 2, SMCP 1 |
| **Slovakia** | *description:* unicameral National Council or Narodna Rada (150 seats; members directly elected in a single- and multi-seat constituencies by closed, party-list proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 5 March 2016 (next to be held in March 2020) |
| | *election results:* percent of vote by party - Smer-SD 28.3%, SaS 12.1%, OLaNO-NOVA 11%, SNS 8.6%, LSNS 8%, Sme-Rodina 6.6%, Most-Hid 6.5%, Siet 5.6%, other 13.3%; seats by party - Smer-SD 49, SaS 21, OLaNO-NOVA 19, SNS 15, LSNS 14, Sme-Rodina 11, Most-Hid 11, Siet 10; composition - men 120, women 30, percent of women 20% |
| **Slovenia** | *description:* bicameral Parliament consists of: |
| | National Council or Drzavni Svet (40 seats; members indirectly elected by an electoral college to serve 5-year terms); note - the Council is primarily an advisory body with limited legislative powers |
| | National Assembly or Drzavni Zbor (90 seats; 88 members directly elected in single-seat constituencies by proportional representation vote and 2 directly elected in special constituencies for Italian and Hungarian minorities by simple majority vote; members serve 4-year terms) |
| | *elections:* |
| | National Council - last held on 22 November 2017 (next to be held in 2022) |
| | National Assembly - last held on 3 June 2018 (next to be held in 2022) |
| | *election results:* |
| | National Council - percent of vote by party - NA; seats by party - NA; composition - men 36, women 4, percent of women 10% |
| | National Assembly - percent of vote by party - SDS 24.9%, LMS 12.7%, SD 9.9%, SMC 9.8%, Levica 9.3%, NSi 7.1%, Stranka AB 5.1%, DeSUS 4.9%, SNS 4.2%, other 12.1%; seats by party - SDS 25, LMS 13, SD 10, SMC 10, Levica 9, NSi 7, Stranka AB 5, DeSUS 5, SNS 4, Italian and Hungarian minorities 2; composition - men 68, women 22, percent of women 24.4%; note - total Parliament percent of women 20% |
| **Solomon Islands** | *description:* unicameral National Parliament (50 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| | *elections:* last held on 19 November 2014 (next to be held in February or March 2019) |
| | *election results:* percent of vote by party - UDP 10.7%, DAP 7.8%, PAP 4.4%, other 20.8%, independent 56.3%; seats by party - DAP 7, UDP 5, PAP 3, KPSI 1, SIPFP 1, SIPRA 1, independent 32; composition - men 49, women 1, percent of women 2% |
| **Somalia** | *description:* bicameral Federal Parliament to consist of: |
| | Upper House (54 seats; senators indirectly elected by state assemblies to serve 4-year terms) |
| | House of the People (275 seats; members indirectly elected by regional delegates to serve 4-year terms) |
| | *elections:* |
| | Upper House - first held 10 October 2016 (next NA) |
| | House of the People - first held 23 October - 10 November 2016 (next NA) |
| | *election results:* |
| | Upper House - NA |
| | House of the People - NA |
| | *note:* the inaugural House of the People was appointed in September 2012 by clan elders; in 2016 and 2017, the Federal Parliament became bicameral with elections scheduled for 10 October 2016 for the Upper House and 23 October to 10 November 2016 for the House of the People; while the elections were delayed, they were eventually held in most regions despite voting irregularities; on 27 December 2016, 41 Upper House senators and 242 House of the People members were sworn in |
| **South Africa** | *description:* bicameral Parliament consists of: |
| | National Council of Provinces (90 seats; 10-member delegations appointed by each of the 9 provincial legislatures to serve 5-year terms; note - the Council has special powers to protect regional interests, including safeguarding cultural and linguistic traditions among ethnic minorities) |
| | National Assembly (400 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) |
| | *elections:* |
| | National Council of Provinces and National Assembly - last held on 7 May 2014 (next to be held in 2019) |
| | *election results:* |
| | National Council of Provinces - percent of vote by party - NA; seats by party - ANC 60, DA 20, EFF 7, IFP 1, NFP 1, UDM 1 |
| | National Assembly - percent of vote by party - ANC 62.2%, DA 22.2%, EFF 6.4%, IFP 2.4%, NFP 1.6%, UDM 1%, other 4.2%; seats by party - ANC 249, DA 89, EFF 25, IFP 10, NFP 6, UDM 4, other 17 |
| **South Sudan** | *description:* bicameral National Legislature consists of: |
| | Council of States, established by presidential decree in August 2011 (50 seats; 20 former members of the Council of States and 30 appointed representatives) |
| | Transitional National Legislative Assembly, established on 4 August 2016, in accordance with the August 2015 Agreement on the Resolution of the Conflict in the Republic of South Sudan (400 seats; 170 members elected in April 2010, 96 members of the former National Assembly, 66 members appointed after independence, and 68 members added as a result of the 2016 Agreement) |
| | *elections:* |
| | Council of States - established and members appointed 1 August 2011 |
| | National Legislative Assembly - last held 11-15 April 2010 but did not take office until July 2011; current parliamentary term extended until 2021) |
| | *election results:* |
| | Council of States - percent of vote by party - NA; seats by party - SPLM 20, unknown 30 |
| | National Legislative Assembly - percent of vote by party - NA; seats by party - SPLM 251, DCP 10, independent 6, unknown 65 |
| **Spain** | *description:* bicameral General Courts or Las Cortes Generales consists of: |
| | Senate or Senado (266 seats; 208 members directly elected in multi-seat constituencies by simple majority vote and 58 members indirectly elected by the legislatures of the autonomouse communities; members serve 4-year terms) |
| | Congress of Deputies or Congreso de los Diputados (350 seats; 348 members directly elected in 50 multi-seat constituencies by proportional representation vote and 2 directly elected from the North African Ceuta and Melilla enclaves byÂ simple majorityÂ vote; members serve 4-year terms or until the government is dissolved) |
| | *elections:* |
| | Senate - last held on 26 June 2016 (next to be held no later than June 2020) |
| | Congress of Deputies - last held on 26 June 2016 (next to be held no later than June 2020) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - PP 149, PSOE 62, Unidos Podemos 20, ERC 12, EAJ/PNV 6, other 17; composition - men 165, women 101, percent of women 38% |
| | Congress of Deputies - percent of vote by party - PP 33%, PSOE 22.7%, Podemos 21.1%, C's 13%, ERC-CatSi 2.6%, EAJ/PNV 1.2%, other 6.4%; seats by party - PP 134, PSOE 84, Podemos 67, C's 32, ERC-CatSi 9, EAJ/PNV 5, other 19; composition - men 213, women 137, percent of women 38.6% |
| **Sri Lanka** | *description:* unicameral Parliament (225 seats; 196 members directly elected in multi-seat constituencies by proportional representation vote using a preferential method in which voters select 3 candidates in order of preference; remaining 29 seats allocated to other political parties and groups in proportion to share of national vote; members serve 5-year terms) |
| | *elections:* last held on 17 August 2015 (next to be held by August 2020) |
| | *election results:* percent of vote by coalition/party - UNFGG 45.7%, UPFA 42.4%, JVP 4.9%, TNA 4.6%, SLMC 0.4%, EPDP 0.3% other 1.7%; seats by coalition/party UNFGG 106, UPFA 95, TNA 16, JVP 6, SLMC 1, EPDP 1; composition - men 214, women 11, percent of women 4.9% |
| **Sudan** | *description:* bicameral National Legislature consists of: |
| | Council of States or Majlis al-Wilayat (54 seats; members indirectly elected by the state legislatures; members serve 6-year tems) |
| | National Assembly or Majlis Watani (426 seats; 213 members directly elected in state-level, single-seat constituencies by simple majority vote, 128 for women only directly elected by national-level, closed party-list proportional representation vote, and 85 directly elected by national-level, party-list proportional representation vote; members serve 6-year terms) |
| | *elections:* |
| | National Assembly - last held on 13-15 April 2015 (next to be held in 2021) |
| | *election results:* |
| | percent of vote by party - NA; seats by party - NCP 323, DUP 25, Democratic Unionist Party 15, other 44, independent 19 |
| **Suriname** | *description:* unicameral National Assembly or Nationale Assemblee (51 seats; members directly elected in multi-seat constituencies by party-list proportional representation vote to serve 5-year terms) |
| | *elections:* last held on 25 May 2015 (next to be held in May 2020) |
| | *election results:* percent of vote by party - NDP 45.5%, V7 37.2%, A-Com 10.5%, DOE 4.3%, PALU 0.7%, other 1.8%; seats by party - NDP 26, V7 18, A-Com 5, DOE 1, PALU 1; |
| | *note:* seats by party as of April 2017 - seats by party - NDP 26, VHP 9, ABOP 5, PL 3, NPS 2, BEP 2, DOE 1, PALU 1, independent 2 |
| **Svalbard** | *description:* unicameral Longyearbyen Community Council (15 seats; members directly elected by majority vote to serve 4-year-terms); note - the Council acts very much like a Norwegian municipality, responsible for infrastructure and utilities, including power, land-use and community planning, education, and child welfare; however, healthcare services are provided by the state |
| | *elections:* last held on 6 October 2015 (next to be held in October 2019) |
| | *election results:* seats by party - Conservatives 5, Labor Party 5, Liberals 3, Green Party 2; composition - men 10, women 5, percent of women 33.3% |
| **Sweden** | *description:* unicameral Parliament or Riksdag (349 seats; 310 members directly elected in multi-seat constituencies by closed, party-list proportional representation vote and 39 members in "at-large" seats directly elected by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 9 September 2018 (next to be held in 2022) |
| | *election results:* percent of vote by party - SAP 28.3%, M 19.8%, SD 17.5%, C 8.6%, V 8%, KD 6.3%, L 5.5%, MP 4.4%, other 1.6%; seats by party - SAP 100, M 70, SD 62, C 31, V 28, KD 22, L 20, MP 16; composition - men 188, women 161, percent of women 46.1% |
| **Switzerland** | *description:* bicameral Federal Assembly or Bundesversammlung (in German), Assemblee Federale (in French), Assemblea Federale (in Italian) consists of: |
| | Council of States or Staenderat (in German), Conseil des Etats (in French), Consiglio degli Stati (in Italian) (46 seats; members in multi-seat constituencies representing cantons and single-seat constituencies representing half cantons directly elected by simple majority vote except Jura and Neuchatel cantons which use proportional representation vote; member term governed by conatonal law) |
| | National Council or Nationalrat (in German), Conseil National (in French), Consiglio Nazionale (in Italian) (200 seats; 195 members in cantons directly elected by proportional representation vote and 6 in half cantons directly elected by simple majority vote; members serve 4-year terms) |
| | *elections:* |
| | Council of States - last held in most cantons on 18 October 2015 (each canton determines when the next election will be held) |
| | National Council - last held on 18 October 2015 (next to be held in October 2019) |
| | *election results:* |
| | Council of States - percent of vote by party - NA; seats by party - CVP 13, FDP 13, SDP 12, SVP 5, other 3; composition - men 39, women 7, percent of women 15.2%Â  |
| | National Council - percent of vote by party - SVP 29.4%, SPS 18.8%, FDP 16.4%, CVP 11.6%, Green Party 7.1%, GLP 4.6%, BDP 4.1%, other 8%; seats by party - SVP 68, SPS 43, FDP 33, CVP 30, Green Party 12, GLP 7, BDP 7; composition - men 136, women 64, percent of women 32%; note - total Assembly percent of women 28.9% |
| **Syria** | *description:* unicameral People's Assembly or Majlis al-Shaab (250 seats; members directly elected in multi-seat constituencies by simple majority preferential vote to serve 4-year terms) |
| | *elections:* last held on 13 April 2016 (next to be held in 2020) |
| | *election results:* percent of vote by party - NPF 80%, other 20%; seats by party - NPF 200, other 50; composition - men 217, women 33, percent of women 13.2% |
| **Taiwan** | *description:* unicameral Legislative Yuan (113 seats; 73 members directly elected in single-seat constituencies by simple majority vote, 34 directly elected in a single island-wide constituency by proportional representation vote, and 6 directly elected in multi-seat aboriginal constituencies by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 16 January 2016 (next to be held in early 2020) |
| | *election results:* percent of vote by party - NA; seats by party - DPP 68, KMT 35, NPP 5, PFP 3, NPSU 1, independent 1; compostion - men 70, women 43, percent of women 38.1%; note - this is the first non-KMT-led legislature in Taiwan's history |
| **Tajikistan** | *description:* bicameral Supreme Assembly or Majlisi Oli consists of: |
| | National Assembly or Majlisi Milli (34 seats; 25 members indirectly elected by local representative assemblies or majlisi, 8 appointed by the president, and 1 reserved for each living former president; members serve 5-year terms) |
| | Assembly of Representatives or Majlisi Namoyandagon (63 seats; 41 members directly elected in single-seat constituencies by 2-round absolute majority vote and 22 directly elected in a single nationwide constituency by proportional representation vote; members serve 5-year terms) |
| | *elections:* |
| | National Assembly - last held on 1 March 2015 (next to be held in 2020) |
| | Assembly of Representatives - last held on 1 March 2015 (next to be held in 2020) |
| | *election results:* |
| | National Assembly - percent of vote by party - NA; seats by party - NA; composition - men 32, women 2, percent of women 5.9% |
| | Assembly of Representatives - percent of vote by party - PDPT 65.4%, APT 11.7%, PERT 7.5%, SPT 5.5%, CPT 2.2%, DPT 1.7%, other 6%; seats by party - PDPT 51, APT 5, PERT 3, CPT 2, SPT 1, DPT 1; composition - men 51, women 12, percent of women19%; note - total Supreme Assembly percent of women 14.4% |
| **Tanzania** | *description:* unicameral National Assembly or Parliament (Bunge) (393 seats; 264 members directly elected in single-seat constituencies by simple majority vote, 113 women indirectly elected by proportional representation vote, 5 indirectly elected by simple majority vote by the Zanzibar House of Representatives, 10 appointed by the president, and 1 seat reserved for the attorney general; members serve a 5-year term); note - in addition to enacting laws that apply to the entire United Republic of Tanzania, the National Assembly enacts laws that apply only to the mainland; Zanzibar has its own House of Representatives or Baraza La Wawakilishi (82 seats; 50 members directly elected in single-seat constituencies by simple majority vote, 20 women directly elected by proportional representation vote, 10 appointed by the Zanzibar president, 1 seat for the House speaker, and 1 ex-officio seat for the attorney general; elected members serve a 5-year term) |
| | Tanzania National Assembly and Zanzibar House of Representatives - elections last held on 25 October 2015 (next National Assembly election to be held in October 2020; next Zanzibar election either October 2020 or March 2021; note the Zanzibar Electoral Commission annulled the 2015 election; repoll held on 20 March 2016 National Assembly - percent of vote by party - CCM 55%, Chadema 31.8%, CUF 8.6%, other 4.6%; seats by party - CCM 253, Chadema 70, CUF 42, other 2 Zanzibar House of Representatives - percent of vote by party - NA; seats by party - NA |
| **Thailand** | *description:* in transition; following the May 2014 military coup, the National Council for Peace and Order (NCPO) - appointed National Legislative Assembly or Sapha Nitibanyat Haeng Chat of no more than 220 members replaced the bicameral National Assembly; expanded to 250 members in September 2016; elections for a permanent legislative body were announced for February 2019; the 2017 constitution calls for a 250-member, NCPO-appointed Senate with 5-year terms and a 500-member elected House of Representatives with 4-year terms |
| | *elections:* Senate - last held on 30 March 2014 but invalidated by the coup (in future, members will be appointed) |
| | House of Representatives - last held on 2 February 2014 but later declared invalid by the Constitutional Court (next to be held on 24 February 2019) |
| | *election results:* Senate - percent of vote by party - NA; seats by party - NA; House of Representatives - percent of vote by party - NA; seats by party - NA |
| **Timor-Leste** | *description:* unicameral National Parliament (65 seats; members directly elected in a single nationwide constituency by proportional representation vote to serve 5-year terms) |
| | *elections:* last held on 12 May 2018 (next to be held in July 2023) |
| | *election results:* percent of vote by party - AMP - 49.6%, FRETILIN 34.2%, PD 8.1%, DDF 5.5%, other 2.6%; seats by party - AMP 34, FRETILIN 23, PD 5, DDF 3; composition - men 44, women 21, percent of women 32% |
| **Togo** | *description:* unicameral National Assembly or Assemblee Nationale (91 seats; members directly elected in multi-seat constituencies by closed, party-list proportional representation vote to serve 5-year terms) |
| | *elections:* last held on 25 July 2013 (next originally scheduled in July 2018, rescheduled for 20 December 2018) |
| | *election results:* percent of vote by coalition/party - UNIR 46.7%, CST 28.9%, Rainbow Alliance 10.8%, UFC 7.7%, independent 0.8%, other 5.1%; seats by coalition/party - UNIR 62, CST 19, Rainbow Alliance 6, UFC 3, independent 1 |
| **Tokelau** | *description:* unicameral General Fono (20 seats apportioned by island - Atafu 7, Fakaofo 7, Nukunonu 6; members directly elected by simple majority vote to serve 3-year terms); note - the Tokelau Amendment Act of 1996 confers limited legislative power to the General Fono |
| | *elections:* last held on 23, 27, and 31 January 2017 depending on island (next to be held in 2020) |
| | *election results:* percent of vote by party - NA; seats by party - independent 20; composition - men 17, women 3, percent of women 15% |
| **Tonga** | *description:* unicameral Legislative Assembly or Fale Alea (up to 30 seats - currently 28; 17 people's representatives directly elected in single-seat constituencies by simple majority vote, 9 indirectly elected by hereditary leaders, and 2 non-elected; members serve 3-year terms) |
| | *elections:* last held on 16 November 2017 (next to be held in 2020) |
| | *election results:* percent of vote - NA; seats by party - Democratic Party 14, nobles' representatives 9, other 2, independent 3; composition - men 27, women 1, percent of women 3.6% |
| **Trinidad and Tobago** | *description:* bicameral Parliament consists of: |
| | Senate (31 seats; 16 members appointed by the ruling party, 9 by the president, and 6 by the opposition party; members serve 5-year terms;) |
| | House of Representatives 42 seats; 41 members directly elected in single-seat constituencies by simple majority vote and the house speaker - usually designated from outside Parliament; members serve 5-year terms) |
| | *elections:* |
| | House of Representatives - last held on 7 September 2015 (next to be held in 2020) |
| | *election results:* |
| | House of Representatives - percent of vote - PNM 51.7%, People's Partnership coalition 46.6% (UNC 39.6%, COP 6%, other coalition 1%), other 1.7%; seats by party - PNM 23, UNC 17, COP 1 |
| | *note:* Tobago has a unicameral House of Assembly (16 seats; 12 assemblymen directly elected by simple majority vote and 4 appointed councillors - 3 on the advice of the chief secretary and 1 on the advice of the minority leader; members serve 4-year terms) |
| **Tunisia** | *description:* unicameral Assembly of the Representatives of the People or Majlis Nuwwab ash-Sha'b (Assemblee des representants du peuple) (217 seats; 199 members directly elected in Tunisian multi-seat constituencies and 18 members in multi-seat constituencies abroad by party-list proportional representation vote; members serve 5-year terms) |
| | *elections:* initial election held on 26 October 2014 (next to be held in 2019) |
| | *election results:* percent of vote by party - Call for Tunisia 37.6%, Ennahdha 27.8%, UPL 4.1%, Popular Front 3.6%, Afek Tounes 3%, CPR 2.1%, other 21.8%; seats by party - Call to Tunisia 86, Nahda 69, UPL 16, Popular Front 15, Afek Tounes 8, CPR 4, other 17, independent 2; composition - men 149, women 68, percent of women 31.3% |
| | *Note:* in August 2018, Prime Minister CHAHED left the Nidaa Tounes party and began building the "National Coalition" bloc, partnering with the al-Nadha party to form a parliamentary majority; percent of vote by party as of November 2018 - al-Nadha 30.9%, Nidaa Tounes 21.2%, National Coalition 20.3%, Popular Front 6.9%, Machrou Tounes' Al-Horrah Bloc 6.9%, Democratic Bloc 5.5%, Loyalty to the Nation Bloc 5.1%, independent 3.2%; seats by party as of November 2018 - al-Nadha 67, Nidaa Tounes 46, National Coalition 44, Popular Front 15, Machrou Tounes' Al-Horrah Bloc 15, Democratic Bloc 12, Loyalty to the Nation Bloc 11, indpendent 7 |
| **Turkey** | *description:* unicameral Grand National Assembly of Turkey or Turkiye Buyuk Millet Meclisi (600 seats - increased from 560 seats beginning with June 2018 election; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms - increased from 4 to 5 years beginning with June 2018 election) |
| | *elections:* last held on 24 June 2018 (next to be held on June 2023) |
| | *election results:* percent of vote by party - People's Alliance (AKP and MHP) 53.7%, National Alliance (CHP, SP, IVI) 33.9%, HDP 11.7%, other 0.7%; seats by party - People's Alliance 344, National Alliance 189, HDP 67; composition - men 496, women 104, percent of women 17.3%; note - only parties surpassing a 10% threshold can win parliamentary seats |
| **Turkmenistan** | *description:* unicameral National Assembly or Mejlis (125 seats; members directly elected from single-seat constituencies by absolute majority vote; members serve 5-year terms) |
| | *elections:* last held on 25 March 2018, although interim elections are held on an ad hoc basis to fill vacant sets |
| | *election results:* percent of vote by party - NA; seats by party - DPT 55, APT 11, PIE 11, independent 48 (individuals nominated by citizen groups); composition - men 94, women 31, percent of women 24.8% |
| **Turks and Caicos Islands** | *description:* unicameral House of Assembly (19 seats; 15 members in multi-seat constituencies and a single all-islands constituency directly elected by simple majority vote, 1 member nominated by the premier and appointed by the governor, 1 nominated by the opposition party leader and appointed by the governor, and 2 from the Turks and Caicos Islands Civic Society directly appointed by the governor; members serve 4-year terms) |
| | *elections:* last held on 15 December 2016 (next to be held in 2020) |
| | *election results:* percent of vote - NA; seats by party - PDM 10, PNP 5 |
| **Tuvalu** | *description:* unicameral House of Assembly or Fale I Fono (15 seats; members directly elected in single- and multi-seat constituencies by simple majority vote to serve 4-year terms) |
| | *elections:* last held on 31 March 2015 (next to be held in 2019) |
| | *election results:* percent of vote - NA; seats - independent 15 (12 members reelected); composition - men 14, women 1, percent of women 6.7% |
| **Uganda** | *description:* unicameral National Assembly or Parliament (445 seats; 290 members directly elected in single-seat constituencies by simple majority vote, 112 for women directly elected in single-seat districts by simple majority vote, and 25 "representatives" reserved for special interest groups - army 10, disabled 5, youth 5, labor 5; up to 18 ex officio members appointed by the president; members serve 5-year terms) |
| | *elections:* last held on 18 February 2016 (next to be held in 2021) |
| | *election results:* percent of vote by party - NA; seats by party - NRM 292, FDC 37, DP 5, UPDF 10, UPC 6, independent 66 (excludes 19 ex-officio members) |
| **Ukraine** | *description:* unicameral Supreme Council or Verkhovna Rada (450 seats; 225 members directly elected in single-seat constituencies by simple majority vote and 225 directly elected in a single nationwide constituency by closed, party-list proportional representation vote; members serve 5-year terms) |
